stationID,now_time_cut,weekday,is_holiday,station_type,neighbor_station,inNums_now,outNums_now,inNums_before2,outNums_before2,inNums_before1,outNums_before1,inNums_after2,outNums_after2,inNums_after1,outNums_after1
0,0,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0,3,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0,4,3.0,0.0,1.0,[1],0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0,6,3.0,0.0,1.0,[1],0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,8,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,11,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,12,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,13,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,14,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,15,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,16,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,17,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,18,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,19,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,20,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,21,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,22,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,23,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,24,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,25,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,26,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,27,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,28,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,29,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,30,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0,31,3.0,0.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0
0,32,3.0,0.0,1.0,[1],2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0
0,33,3.0,0.0,1.0,[1],8.0,0.0,0.0,0.0,2.0,0.0,17.0,2.0,8.0,0.0
0,34,3.0,0.0,1.0,[1],8.0,0.0,2.0,0.0,8.0,0.0,16.0,1.0,17.0,2.0
0,35,3.0,0.0,1.0,[1],17.0,2.0,8.0,0.0,8.0,0.0,38.0,0.0,16.0,1.0
0,36,3.0,0.0,1.0,[1],16.0,1.0,8.0,0.0,17.0,2.0,35.0,0.0,38.0,0.0
0,37,3.0,0.0,1.0,[1],38.0,0.0,17.0,2.0,16.0,1.0,86.0,32.0,35.0,0.0
0,38,3.0,0.0,1.0,[1],35.0,0.0,16.0,1.0,38.0,0.0,109.0,23.0,86.0,32.0
0,39,3.0,0.0,1.0,[1],86.0,32.0,38.0,0.0,35.0,0.0,123.0,19.0,109.0,23.0
0,40,3.0,0.0,1.0,[1],109.0,23.0,35.0,0.0,86.0,32.0,167.0,26.0,123.0,19.0
0,41,3.0,0.0,1.0,[1],123.0,19.0,86.0,32.0,109.0,23.0,249.0,22.0,167.0,26.0
0,42,3.0,0.0,1.0,[1],167.0,26.0,109.0,23.0,123.0,19.0,254.0,21.0,249.0,22.0
0,43,3.0,0.0,1.0,[1],249.0,22.0,123.0,19.0,167.0,26.0,340.0,33.0,254.0,21.0
0,44,3.0,0.0,1.0,[1],254.0,21.0,167.0,26.0,249.0,22.0,408.0,50.0,340.0,33.0
0,45,3.0,0.0,1.0,[1],340.0,33.0,249.0,22.0,254.0,21.0,429.0,53.0,408.0,50.0
0,46,3.0,0.0,1.0,[1],408.0,50.0,254.0,21.0,340.0,33.0,432.0,59.0,429.0,53.0
0,47,3.0,0.0,1.0,[1],429.0,53.0,340.0,33.0,408.0,50.0,424.0,83.0,432.0,59.0
0,48,3.0,0.0,1.0,[1],432.0,59.0,408.0,50.0,429.0,53.0,430.0,125.0,424.0,83.0
0,49,3.0,0.0,1.0,[1],424.0,83.0,429.0,53.0,432.0,59.0,486.0,205.0,430.0,125.0
0,50,3.0,0.0,1.0,[1],430.0,125.0,432.0,59.0,424.0,83.0,352.0,201.0,486.0,205.0
0,51,3.0,0.0,1.0,[1],486.0,205.0,424.0,83.0,430.0,125.0,272.0,116.0,352.0,201.0
